Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
05/02/2024,04:00,N,HB_NORTH,12.78
05/02/2024,04:00,N,HB_PAN,5.98
05/02/2024,04:00,N,HB_SOUTH,11.93
05/02/2024,04:00,N,HB_WEST,15.50
05/02/2024,04:00,N,LZ_AEN,13.69
05/02/2024,04:00,N,LZ_CPS,14.91
05/02/2024,04:00,N,LZ_HOUSTON,12.78
05/02/2024,04:00,N,LZ_LCRA,14
05/02/2024,04:00,N,LZ_NORTH,12.78
05/02/2024,04:00,N,LZ_RAYBN,12.70
05/02/2024,04:00,N,LZ_SOUTH,10.53
05/02/2024,04:00,N,LZ_WEST,24.09
05/02/2024,05:00,N,HB_BUSAVG,13.26
05/02/2024,05:00,N,HB_HOUSTON,13.16
05/02/2024,05:00,N,HB_HUBAVG,13.64
05/02/2024,05:00,N,HB_NORTH,12.88
05/02/2024,05:00,N,HB_PAN,6.49
05/02/2024,05:00,N,HB_SOUTH,12.83
05/02/2024,05:00,N,HB_WEST,15.69
05/02/2024,05:00,N,LZ_AEN,13.94
05/02/2024,05:00,N,LZ_CPS,15.10
05/02/2024,05:00,N,LZ_HOUSTON,13.16
05/02/2024,05:00,N,LZ_LCRA,14.23
05/02/2024,05:00,N,LZ_NORTH,12.87
05/02/2024,05:00,N,LZ_RAYBN,12.79
05/02/2024,05:00,N,LZ_SOUTH,12.18
05/02/2024,05:00,N,LZ_WEST,25.91
05/02/2024,06:00,N,HB_BUSAVG,16.54
05/02/2024,06:00,N,HB_HOUSTON,16.44
05/02/2024,06:00,N,HB_HUBAVG,16.96
05/02/2024,06:00,N,HB_NORTH,16.09
05/02/2024,06:00,N,HB_PAN,11.09
05/02/2024,06:00,N,HB_SOUTH,16.23
05/02/2024,06:00,N,HB_WEST,19.09
05/02/2024,06:00,N,LZ_AEN,17.27
05/02/2024,06:00,N,LZ_CPS,18.68
05/02/2024,06:00,N,LZ_HOUSTON,16.44
05/02/2024,06:00,N,LZ_LCRA,17.61
05/02/2024,06:00,N,LZ_NORTH,16.08
05/02/2024,06:00,N,LZ_RAYBN,16
05/02/2024,06:00,N,LZ_SOUTH,15.62
05/02/2024,06:00,N,LZ_WEST,31.11
05/02/2024,07:00,N,HB_BUSAVG,26.54
05/02/2024,07:00,N,HB_HOUSTON,26.45
05/02/2024,07:00,N,HB_HUBAVG,27.03
05/02/2024,07:00,N,HB_NORTH,25.95
05/02/2024,07:00,N,HB_PAN,21.34
05/02/2024,07:00,N,HB_SOUTH,26.51
05/02/2024,07:00,N,HB_WEST,29.23
05/02/2024,07:00,N,LZ_AEN,27.27
05/02/2024,07:00,N,LZ_CPS,28.33
05/02/2024,07:00,N,LZ_HOUSTON,26.46
05/02/2024,07:00,N,LZ_LCRA,27.57
05/02/2024,07:00,N,LZ_NORTH,25.97
